img,link,prod,price
https://www.bigbasket.com/media/uploads/p/s/40012929_7-bingo-potato-chips-original-style-chilli-sprinkled.jpg,https://www.bigbasket.com/pd/40012929/bingo-potato-chips-original-style-chilli-sprinkled-25-5-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Potato Chips Original Style- Chilli Sprinkled,9.50
https://www.bigbasket.com/media/uploads/p/s/1200588_2-cadbury-oreo-biscuit-vanilla-creme.jpg,https://www.bigbasket.com/pd/1200588/cadbury-oreo-biscuit-vanilla-creme-3x120-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Oreo Biscuit - Vanilla Creme,90
https://www.bigbasket.com/media/uploads/p/s/20000844_5-karachi-bakery-osmania-biscuits.jpg,https://www.bigbasket.com/pd/20000844/karachi-bakery-osmania-biscuits-400-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Osmania Biscuits,130
https://www.bigbasket.com/media/uploads/p/mm/40009525_5-patanjali-honey.jpg,https://www.bigbasket.com/pd/40009525/patanjali-honey-500-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Honey,145
https://www.bigbasket.com/media/uploads/p/mm/100015894_5-bambino-vermicelli-roasted.jpg,https://www.bigbasket.com/pd/100015894/bambino-vermicelli-roasted-875-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Vermicelli - Roasted,96
https://www.bigbasket.com/media/uploads/p/mm/40025066_4-britannia-milk-bikis-biscuits.jpg,https://www.bigbasket.com/pd/40025066/britannia-milk-bikis-biscuits-80-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Milk Bikis Biscuits,10
https://www.bigbasket.com/media/uploads/p/mm/20000039_2-karachi-bakery-biscuits-karachis-fruit-pure-vegetarian.jpg,https://www.bigbasket.com/pd/20000039/karachi-bakery-biscuits-karachi-s-fruit-pure-vegetarian-400-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Biscuits - Karachi's Fruit (Pure Vegetarian),140
https://www.bigbasket.com/media/uploads/p/mm/40148709_4-dabur-honey-squeezy-india-s-no1-honey.jpg,https://www.bigbasket.com/pd/40148709/dabur-honey-squeezy-india-s-no-1-honey-225-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Honey Squeezy - India 's No.1 Honey,155
https://www.bigbasket.com/media/uploads/p/mm/1204275_1-sunfeast-dark-fantasy-choco-fills-75-gm-dark-fantasy-choco-fills-300-gm.jpg,https://www.bigbasket.com/pd/1204275/sunfeast-dark-fantasy-choco-fills-75-gm-dark-fantasy-choco-fills-300-gm-combo/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,"Dark Fantasy - Choco Fills, 75 gm + Dark Fantasy - Choco Fills, 300 gm",150
https://www.bigbasket.com/media/uploads/p/mm/1203909_2-britannia-good-day-cookies-rich-cashew.jpg,https://www.bigbasket.com/pd/1203909/britannia-good-day-cookies-rich-cashew-12x58-g/?nc=cl-prod-list&t_pg=l1-cat-snacks-branded-foods&t_p=cl-temp-1&t_s=cl-prod-list&t_pos=3&t_ch=desktop,Good Day Cookies - Rich Cashew,120
